product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
11,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,594.86,19.93,beauty,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,991,Turquoise,large,3.5,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,2011-09-15,2.9,154,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,2.5,705,free,23.24
12,ligula in lacus curabitur at ipsum ac tellus semper interdum,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",32.61,11.62,home decor,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,692,Red,small,4.6,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,2013-05-02,3.0,884,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,2.3,612,free,37.7
13,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",25.26,15.74,toys,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,542,Puce,small,9.1,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,2013-01-28,2.0,865,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,3.8,730,express,13.13
14,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",12.07,7.77,clothing,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,609,Puce,large,5.1,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,2012-07-27,2.5,20,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,4.4,110,free,15.55
15,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,747.16,37.31,electronics,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,677,Red,large,4.7,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,2022-01-16,3.8,425,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,4.2,715,free,22.11
16,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,431.01,0.51,home decor,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,147,Red,extra large,5.4,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,2015-06-06,1.9,49,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,3.8,507,express,13.88
17,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,Nulla mollis molestie lorem.,695.11,21.75,beauty,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,132,Purple,medium,7.2,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,2015-12-07,2.7,344,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,3.7,24,free,10.29
18,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",356.44,19.49,clothing,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,556,Crimson,small,4.5,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2021-02-08,1.2,84,quis lectus suspendisse potenti in eleifend quam a odio in,4.9,912,express,6.5
19,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.",108.86,30.99,beauty,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,636,Orange,medium,1.3,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,2019-08-15,1.1,942,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,4.7,644,standard,24.66
20,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",36.23,19.28,electronics,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,633,Yellow,large,9.8,odio consequat varius integer ac leo pellentesque ultrices mattis odio,2011-08-30,1.7,186,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,1.5,851,express,35.79
21,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",471.47,5.58,clothing,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim,675,Puce,medium,2.5,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,2013-02-08,3.3,122,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,4.0,193,free,20.65
22,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,463.05,39.09,clothing,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,331,Fuscia,medium,2.2,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,2016-05-05,3.4,819,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,2.4,257,express,1.03
23,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",735.19,24.84,beauty,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,7,Indigo,medium,1.8,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,2022-11-25,1.0,636,dui maecenas tristique est et tempus semper est quam pharetra magna,3.5,466,standard,8.0
24,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,452.67,0.19,clothing,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,719,Khaki,small,2.5,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,2019-03-12,4.4,9,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,2.7,104,express,23.12
25,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",881.46,2.25,electronics,ac neque duis bibendum morbi non quam nec dui luctus,982,Red,small,1.0,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,2010-07-22,3.2,419,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,4.6,777,standard,33.85
26,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,543.82,17.32,toys,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,384,Indigo,medium,10.0,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,2016-12-09,2.7,352,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,2.9,710,free,34.05
27,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",298.39,3.47,home decor,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,817,Orange,small,4.7,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,2014-04-01,2.8,99,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,2.9,540,express,6.27
28,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,337.82,6.39,home decor,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,57,Khaki,extra large,8.5,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,2011-08-03,3.9,306,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,2.5,698,free,47.01
29,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",397.18,4.18,toys,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,893,Violet,medium,8.6,tincidunt eget tempus vel pede morbi porttitor lorem id ligula,2012-11-27,2.5,562,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,4.9,55,express,3.47
30,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",443.86,23.39,electronics,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,361,Red,medium,2.4,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,2022-01-07,3.9,590,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,4.9,765,express,27.59
31,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",85.87,41.75,home decor,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,204,Orange,small,6.7,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,2018-10-15,4.8,443,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,2.0,822,free,17.77
32,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",236.86,35.46,clothing,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,576,Crimson,small,7.4,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,2017-07-10,1.2,143,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,4.7,197,free,20.65
33,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,583.46,34.17,beauty,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,995,Yellow,large,8.9,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,2014-11-20,4.2,490,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,2.4,993,free,27.45
34,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,Duis ac nibh.,759.62,38.53,clothing,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,973,Crimson,extra large,0.8,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,2013-07-17,4.4,75,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,4.2,397,free,30.52
35,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",235.42,9.17,toys,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,276,Red,large,3.5,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,2019-10-10,1.5,353,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,3.2,970,express,21.14
36,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",395.22,5.04,beauty,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,774,Khaki,small,4.3,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,2020-10-29,4.8,104,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,4.0,904,free,47.18
37,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",717.59,4.63,home decor,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,486,Puce,small,3.7,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,2017-10-27,2.0,361,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,1.7,40,free,38.07
38,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,Sed accumsan felis.,616.75,2.15,toys,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,226,Crimson,large,1.0,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,2021-09-14,4.8,574,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,1.1,435,standard,38.49
39,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.",789.27,18.7,beauty,eros viverra eget congue eget semper rutrum nulla nunc purus,872,Goldenrod,small,2.2,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,2012-11-18,1.3,530,porta volutpat erat quisque erat eros viverra eget congue eget semper,2.3,746,free,31.1
40,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,834.6,8.57,toys,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,859,Crimson,medium,5.4,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,2019-09-26,3.0,570,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,1.3,505,express,22.9
41,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,757.15,28.06,beauty,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,377,Indigo,large,8.2,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,2018-07-15,2.7,341,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,2.2,699,free,15.99
42,pede justo eu massa donec dapibus duis at velit eu est congue elementum in,Etiam vel augue.,378.78,48.37,toys,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,922,Green,small,4.0,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,2011-11-04,1.1,61,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,2.5,617,standard,29.22
